code,name,market,sector,theme
5423,東京製鐵,Prime,鉄鋼,内需・ディフェンシブ
5440,共英製鋼,Prime,鉄鋼,内需・ディフェンシブ
5444,大和工業,Prime,鉄鋼,内需・ディフェンシブ
5445,東京鐵鋼,Prime,鉄鋼,内需・ディフェンシブ
5446,北越メタル,Standard,鉄鋼,内需・ディフェンシブ
5449,大阪製鐵,Standard,鉄鋼,内需・ディフェンシブ
5451,ヨドコウ,Prime,鉄鋼,内需・ディフェンシブ
5458,高砂鐵工,Standard,鉄鋼,内需・ディフェンシブ
5461,中部鋼鈑,Prime,鉄鋼,内需・ディフェンシブ
5463,丸一鋼管,Prime,鉄鋼,内需・ディフェンシブ
5464,モリ工業,Standard,鉄鋼,内需・ディフェンシブ
5471,大同特殊鋼,Prime,鉄鋼,内需・ディフェンシブ
5480,日本冶金工業,Prime,鉄鋼,内需・ディフェンシブ
5482,愛知製鋼,Prime,鉄鋼,内需・ディフェンシブ
5484,東北特殊鋼,Standard,鉄鋼,内需・ディフェンシブ
5491,日本金属,Standard,鉄鋼,内需・ディフェンシブ
5525,フロンティアホールディングス,PRO,不動産業,内需・ディフェンシブ
5527,ｐｒｏｐｅｒｔｙ　ｔｅｃｈｎｏｌｏｇｉｅｓ,Growth,不動産業,内需・ディフェンシブ
5528,フロンティアハウス,PRO,不動産業,内需・ディフェンシブ
5531,中山不動産,PRO,不動産業,内需・ディフェンシブ
5532,リアルゲイト,Growth,不動産業,内需・ディフェンシブ
5533,エリッツホールディングス,Standard,不動産業,内需・ディフェンシブ
5534,エンゼルグループ,PRO,不動産業,内需・ディフェンシブ
5535,ミガロホールディングス,Prime,不動産業,内需・ディフェンシブ
5536,京橋アートレジデンス,PRO,不動産業,内需・ディフェンシブ
5537,ＡｌｂａＬｉｎｋ,Growth,不動産業,内需・ディフェンシブ
5541,大平洋金属,Prime,鉄鋼,内需・ディフェンシブ
5542,新報国マテリアル,Standard,鉄鋼,内需・ディフェンシブ
5563,新日本電工,Prime,鉄鋼,内需・ディフェンシブ
5570,ジェノバ,Growth,情報・通信業,DX・SaaS
5571,エキサイトホールディングス,Standard,情報・通信業,DX・SaaS
5572,Ｒｉｄｇｅ－ｉ,Growth,情報・通信業,DX・SaaS
5573,働楽ホールディングス,PRO,情報・通信業,DX・SaaS
5574,ＡＢＥＪＡ,Growth,情報・通信業,DX・SaaS
5575,Ｇｌｏｂｅｅ,Growth,情報・通信業,DX・SaaS
5576,オービーシステム,Standard,情報・通信業,DX・SaaS
5578,ＡＲアドバンストテクノロジ,Growth,情報・通信業,DX・SaaS
5580,プロディライト,Growth,情報・通信業,DX・SaaS
5581,カイテクノロジー,PRO,情報・通信業,DX・SaaS
5582,グリッド,Growth,情報・通信業,DX・SaaS
5584,Ｓｔｒａｗｂｅｒｒｙ　ｊａｍｓ,PRO,情報・通信業,DX・SaaS
5586,Ｌａｂｏｒｏ．ＡＩ,Growth,情報・通信業,DX・SaaS
5587,インバウンドプラットフォーム,Growth,情報・通信業,DX・SaaS
5588,ファーストアカウンティング,Growth,情報・通信業,DX・SaaS
5589,オートサーバー,Standard,情報・通信業,DX・SaaS
5590,ネットスターズ,Growth,情報・通信業,DX・SaaS
5591,ＡＶＩＬＥＮ,Growth,情報・通信業,DX・SaaS
5592,くすりの窓口,Growth,情報・通信業,DX・SaaS
5594,エム・デー・ビー,PRO,情報・通信業,DX・SaaS
5597,ブルーイノベーション,Growth,情報・通信業,DX・SaaS
5598,Ｙｏｔｔａｖｉａｓ,PRO,情報・通信業,DX・SaaS
5599,Ｓ＆Ｊ,Growth,情報・通信業,DX・SaaS
5602,栗本鐵工所,Prime,鉄鋼,内需・ディフェンシブ
5603,虹技,Standard,鉄鋼,内需・ディフェンシブ
5609,日本鋳造,Standard,鉄鋼,内需・ディフェンシブ
5612,日本鋳鉄管,Standard,鉄鋼,内需・ディフェンシブ
5616,雨風太陽,Growth,情報・通信業,DX・SaaS
5617,ウィル・ドゥ,PRO,情報・通信業,DX・SaaS
5618,ナイル,Growth,情報・通信業,DX・SaaS
5619,マーソ,Growth,情報・通信業,DX・SaaS
5620,エスピーオー,PRO,情報・通信業,DX・SaaS
5621,ヒューマンテクノロジーズ,Growth,情報・通信業,DX・SaaS
5622,ワンビ,PRO,情報・通信業,DX・SaaS
5631,日本製鋼所,Prime,機械,ロボット・FA
5632,三菱製鋼,Prime,鉄鋼,内需・ディフェンシブ
5644,メタルアート,Standard,鉄鋼,内需・ディフェンシブ
5658,日亜鋼業,Standard,鉄鋼,内需・ディフェンシブ
5659,日本精線,Prime,鉄鋼,内需・ディフェンシブ
5660,神鋼鋼線工業,Standard,鉄鋼,内需・ディフェンシブ
5695,パウダーテック,Standard,鉄鋼,内需・ディフェンシブ
5697,サンユウ,Standard,鉄鋼,内需・ディフェンシブ
5698,エンビプロ・ホールディングス,Standard,鉄鋼,内需・ディフェンシブ
5699,イボキン,Standard,鉄鋼,内需・ディフェンシブ
5702,大紀アルミニウム工業所,Prime,非鉄金属,内需・ディフェンシブ
5703,日本軽金属ホールディングス,Prime,非鉄金属,内需・ディフェンシブ
5704,ＪＭＣ,Growth,非鉄金属,内需・ディフェンシブ
5706,三井金属,Prime,非鉄金属,内需・ディフェンシブ
5707,東邦亜鉛,Prime,非鉄金属,内需・ディフェンシブ
5711,三菱マテリアル,Prime,非鉄金属,内需・ディフェンシブ
5713,住友金属鉱山,Prime,非鉄金属,内需・ディフェンシブ
5714,ＤＯＷＡホールディングス,Prime,非鉄金属,内需・ディフェンシブ
5715,古河機械金属,Prime,非鉄金属,内需・ディフェンシブ
5721,エス・サイエンス,Standard,非鉄金属,内需・ディフェンシブ
5724,アサカ理研,Standard,非鉄金属,内需・ディフェンシブ
5726,大阪チタニウムテクノロジーズ,Prime,非鉄金属,内需・ディフェンシブ
5727,東邦チタニウム,Prime,非鉄金属,内需・ディフェンシブ
5729,日本精鉱,Standard,非鉄金属,内需・ディフェンシブ
5741,ＵＡＣＪ,Prime,非鉄金属,内需・ディフェンシブ
5742,エヌアイシ・オートテック,Standard,非鉄金属,内需・ディフェンシブ
